"placa","estatus","placa_anterior","years_adeudos","years"
"Z88ACT","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"Z88ACU","Cuenta con Placa Anterior y Sin adeudos","888WLR",0,"0"
"Z88ACV","Cuenta con Placa Anterior y Sin adeudos","Z88ACV",0,"0"
"Z88ACW","Cuenta con Placa Anterior y Adeudos","Z88ACW",2,"2020"
"Z88ACW","Cuenta con Placa Anterior y Adeudos","Z88ACW",2,"2021"
"Z88ACX","Sin adeudos",NA,0,"0"
"Z88ACZ","Adeudos",NA,4,"2018"
"Z88ACZ","Adeudos",NA,4,"2019"
"Z88ACZ","Adeudos",NA,4,"2020"
"Z88ACZ","Adeudos",NA,4,"2021"
"Z88ADA","Sin adeudos",NA,0,"0"
"Z88ADB","Adeudos",NA,6,"2016"
"Z88ADB","Adeudos",NA,6,"2017"
"Z88ADB","Adeudos",NA,6,"2018"
"Z88ADB","Adeudos",NA,6,"2019"
"Z88ADB","Adeudos",NA,6,"2020"
"Z88ADB","Adeudos",NA,6,"2021"
"Z88ADC","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
