"placa","estatus","placa_anterior","years_adeudos","years"
"314WAM","Sin adeudos",NA,0,"0"
"314WAS","Adeudos",NA,2,"2020"
"314WAS","Adeudos",NA,2,"2021"
"314WAU","Sin adeudos",NA,0,"0"
"314WBC","Cuenta con Placa Anterior y Adeudos","167VYJ",2,"2020"
"314WBC","Cuenta con Placa Anterior y Adeudos","167VYJ",2,"2021"
"314WBD","Cuenta con Placa Anterior y Adeudos","314WBD",4,"2018"
"314WBD","Cuenta con Placa Anterior y Adeudos","314WBD",4,"2019"
"314WBD","Cuenta con Placa Anterior y Adeudos","314WBD",4,"2020"
"314WBD","Cuenta con Placa Anterior y Adeudos","314WBD",4,"2021"
"314WBE","Adeudos",NA,5,"2017"
"314WBE","Adeudos",NA,5,"2018"
"314WBE","Adeudos",NA,5,"2019"
"314WBE","Adeudos",NA,5,"2020"
"314WBE","Adeudos",NA,5,"2021"
"314WBF","Sin adeudos",NA,0,"0"
"314WBM","Sin adeudos",NA,0,"0"
"314WBN","Sin adeudos",NA,0,"0"
"314WBP","Cuenta con Placa Anterior y Adeudos","391TMD",1,"2021"
"314WBV","Sin adeudos",NA,0,"0"
"314WBW","Adeudos",NA,5,"2017"
"314WBW","Adeudos",NA,5,"2018"
"314WBW","Adeudos",NA,5,"2019"
"314WBW","Adeudos",NA,5,"2020"
"314WBW","Adeudos",NA,5,"2021"
"314WCA","Adeudos",NA,4,"2018"
"314WCA","Adeudos",NA,4,"2019"
"314WCA","Adeudos",NA,4,"2020"
"314WCA","Adeudos",NA,4,"2021"
"314WCB","Adeudos",NA,6,"2016"
"314WCB","Adeudos",NA,6,"2017"
"314WCB","Adeudos",NA,6,"2018"
"314WCB","Adeudos",NA,6,"2019"
"314WCB","Adeudos",NA,6,"2020"
"314WCB","Adeudos",NA,6,"2021"
"314WCD","Adeudos",NA,4,"2018"
"314WCD","Adeudos",NA,4,"2019"
"314WCD","Adeudos",NA,4,"2020"
"314WCD","Adeudos",NA,4,"2021"
"314WCH","Adeudos",NA,4,"2018"
"314WCH","Adeudos",NA,4,"2019"
"314WCH","Adeudos",NA,4,"2020"
"314WCH","Adeudos",NA,4,"2021"
"314WCK","Adeudos",NA,5,"2016"
"314WCK","Adeudos",NA,5,"2017"
"314WCK","Adeudos",NA,5,"2018"
"314WCK","Adeudos",NA,5,"2020"
"314WCK","Adeudos",NA,5,"2021"
"314WCR","Adeudos",NA,3,"2019"
"314WCR","Adeudos",NA,3,"2020"
"314WCR","Adeudos",NA,3,"2021"
"314WDH","Adeudos",NA,4,"2018"
"314WDH","Adeudos",NA,4,"2019"
"314WDH","Adeudos",NA,4,"2020"
"314WDH","Adeudos",NA,4,"2021"
"314WDJ","Sin adeudos",NA,0,"0"
"314WDK","Cuenta con Placa Anterior y Sin adeudos","314WDK",0,"0"
"314WDL","Adeudos",NA,1,"2021"
"314WDP","Sin adeudos",NA,0,"0"
"314WDR","Sin adeudos",NA,0,"0"
"314WDS","Cuenta con Placa Anterior y Sin adeudos","314WDS",0,"0"
"314WDT","Adeudos",NA,6,"2016"
"314WDT","Adeudos",NA,6,"2017"
"314WDT","Adeudos",NA,6,"2018"
"314WDT","Adeudos",NA,6,"2019"
"314WDT","Adeudos",NA,6,"2020"
"314WDT","Adeudos",NA,6,"2021"
"314WDV","Sin adeudos",NA,0,"0"
"314WDX","Sin adeudos",NA,0,"0"
"314WDY","Adeudos",NA,4,"2018"
"314WDY","Adeudos",NA,4,"2019"
"314WDY","Adeudos",NA,4,"2020"
"314WDY","Adeudos",NA,4,"2021"
"314WDZ","Adeudos",NA,2,"2020"
"314WDZ","Adeudos",NA,2,"2021"
"314WEF","Sin adeudos",NA,0,"0"
"314WEG","Adeudos",NA,4,"2018"
"314WEG","Adeudos",NA,4,"2019"
"314WEG","Adeudos",NA,4,"2020"
"314WEG","Adeudos",NA,4,"2021"
"314WEH","Sin adeudos",NA,0,"0"
"314WEK","Adeudos",NA,7,"2015"
"314WEK","Adeudos",NA,7,"2016"
"314WEK","Adeudos",NA,7,"2017"
"314WEK","Adeudos",NA,7,"2018"
"314WEK","Adeudos",NA,7,"2019"
"314WEK","Adeudos",NA,7,"2020"
"314WEK","Adeudos",NA,7,"2021"
"314WEN","ERROR. Revisar Placa",NA,0,"0"
"314WES","ERROR. Revisar Placa",NA,0,"0"
"314WET","Sin adeudos",NA,0,"0"
"314WEV","Sin adeudos",NA,0,"0"
"314WEX","Sin adeudos",NA,0,"0"
"314WFA","Sin adeudos",NA,0,"0"
"314WFB","Sin adeudos",NA,0,"0"
"314WFF","Adeudos",NA,3,"2019"
"314WFF","Adeudos",NA,3,"2020"
"314WFF","Adeudos",NA,3,"2021"
"314WFH","Adeudos",NA,3,"2019"
"314WFH","Adeudos",NA,3,"2020"
"314WFH","Adeudos",NA,3,"2021"
"314WFJ","Adeudos",NA,4,"2018"
"314WFJ","Adeudos",NA,4,"2019"
"314WFJ","Adeudos",NA,4,"2020"
"314WFJ","Adeudos",NA,4,"2021"
"314WFK","Adeudos",NA,4,"2018"
"314WFK","Adeudos",NA,4,"2019"
"314WFK","Adeudos",NA,4,"2020"
"314WFK","Adeudos",NA,4,"2021"
"314WFP","Sin adeudos",NA,0,"0"
"314WFW","Sin adeudos",NA,0,"0"
"314WFX","Adeudos",NA,6,"2016"
"314WFX","Adeudos",NA,6,"2017"
"314WFX","Adeudos",NA,6,"2018"
"314WFX","Adeudos",NA,6,"2019"
"314WFX","Adeudos",NA,6,"2020"
"314WFX","Adeudos",NA,6,"2021"
"314WFZ","Adeudos",NA,2,"2020"
"314WFZ","Adeudos",NA,2,"2021"
"314WGB","Adeudos",NA,4,"2018"
"314WGB","Adeudos",NA,4,"2019"
"314WGB","Adeudos",NA,4,"2020"
"314WGB","Adeudos",NA,4,"2021"
"314WGG","Sin adeudos",NA,0,"0"
"314WGH","Adeudos",NA,3,"2019"
"314WGH","Adeudos",NA,3,"2020"
"314WGH","Adeudos",NA,3,"2021"
"314WGJ","Sin adeudos",NA,0,"0"
"314WGM","Adeudos",NA,5,"2017"
"314WGM","Adeudos",NA,5,"2018"
"314WGM","Adeudos",NA,5,"2019"
"314WGM","Adeudos",NA,5,"2020"
"314WGM","Adeudos",NA,5,"2021"
"314WGS","Adeudos",NA,3,"2019"
"314WGS","Adeudos",NA,3,"2020"
"314WGS","Adeudos",NA,3,"2021"
"314WGX","Adeudos",NA,1,"2021"
"314WGY","Adeudos",NA,2,"2020"
"314WGY","Adeudos",NA,2,"2021"
"314WGZ","Sin adeudos",NA,0,"0"
"314WHA","Adeudos",NA,5,"2017"
"314WHA","Adeudos",NA,5,"2018"
"314WHA","Adeudos",NA,5,"2019"
"314WHA","Adeudos",NA,5,"2020"
"314WHA","Adeudos",NA,5,"2021"
"314WHC","Adeudos",NA,4,"2018"
"314WHC","Adeudos",NA,4,"2019"
"314WHC","Adeudos",NA,4,"2020"
"314WHC","Adeudos",NA,4,"2021"
"314WHF","Adeudos",NA,3,"2019"
"314WHF","Adeudos",NA,3,"2020"
"314WHF","Adeudos",NA,3,"2021"
"314WHG","Adeudos",NA,7,"2015"
"314WHG","Adeudos",NA,7,"2016"
"314WHG","Adeudos",NA,7,"2017"
"314WHG","Adeudos",NA,7,"2018"
"314WHG","Adeudos",NA,7,"2019"
"314WHG","Adeudos",NA,7,"2020"
"314WHG","Adeudos",NA,7,"2021"
"314WHH","Adeudos",NA,2,"2020"
"314WHH","Adeudos",NA,2,"2021"
"314WHK","Sin adeudos",NA,0,"0"
"314WHR","Cuenta con Placa Anterior y Adeudos","649WGS",4,"2018"
"314WHR","Cuenta con Placa Anterior y Adeudos","649WGS",4,"2019"
"314WHR","Cuenta con Placa Anterior y Adeudos","649WGS",4,"2020"
"314WHR","Cuenta con Placa Anterior y Adeudos","649WGS",4,"2021"
"314WHT","Sin adeudos",NA,0,"0"
"314WHW","Adeudos",NA,4,"2018"
"314WHW","Adeudos",NA,4,"2019"
"314WHW","Adeudos",NA,4,"2020"
"314WHW","Adeudos",NA,4,"2021"
"314WHZ","Adeudos",NA,5,"2017"
"314WHZ","Adeudos",NA,5,"2018"
"314WHZ","Adeudos",NA,5,"2019"
"314WHZ","Adeudos",NA,5,"2020"
"314WHZ","Adeudos",NA,5,"2021"
"314WJB","Cuenta con Placa Anterior y Adeudos","287NTE",3,"2019"
"314WJB","Cuenta con Placa Anterior y Adeudos","287NTE",3,"2020"
"314WJB","Cuenta con Placa Anterior y Adeudos","287NTE",3,"2021"
"314WJC","Sin adeudos",NA,0,"0"
"314WJD","Adeudos",NA,6,"2016"
"314WJD","Adeudos",NA,6,"2017"
"314WJD","Adeudos",NA,6,"2018"
"314WJD","Adeudos",NA,6,"2019"
"314WJD","Adeudos",NA,6,"2020"
"314WJD","Adeudos",NA,6,"2021"
"314WJF","Adeudos",NA,6,"2016"
"314WJF","Adeudos",NA,6,"2017"
"314WJF","Adeudos",NA,6,"2018"
"314WJF","Adeudos",NA,6,"2019"
"314WJF","Adeudos",NA,6,"2020"
"314WJF","Adeudos",NA,6,"2021"
"314WJH","Adeudos",NA,6,"2016"
"314WJH","Adeudos",NA,6,"2017"
"314WJH","Adeudos",NA,6,"2018"
"314WJH","Adeudos",NA,6,"2019"
"314WJH","Adeudos",NA,6,"2020"
"314WJH","Adeudos",NA,6,"2021"
"314WJK","Sin adeudos",NA,0,"0"
"314WJM","Sin adeudos",NA,0,"0"
"314WJN","Adeudos",NA,3,"2019"
"314WJN","Adeudos",NA,3,"2020"
"314WJN","Adeudos",NA,3,"2021"
"314WJS","Adeudos",NA,6,"2016"
"314WJS","Adeudos",NA,6,"2017"
"314WJS","Adeudos",NA,6,"2018"
"314WJS","Adeudos",NA,6,"2019"
"314WJS","Adeudos",NA,6,"2020"
"314WJS","Adeudos",NA,6,"2021"
"314WJU","Cuenta con Placa Anterior y Sin adeudos","314WJU",0,"0"
"314WJY","Sin adeudos",NA,0,"0"
"314WJZ","Adeudos",NA,6,"2016"
"314WJZ","Adeudos",NA,6,"2017"
"314WJZ","Adeudos",NA,6,"2018"
"314WJZ","Adeudos",NA,6,"2019"
"314WJZ","Adeudos",NA,6,"2020"
"314WJZ","Adeudos",NA,6,"2021"
"314WKA","Adeudos",NA,6,"2016"
"314WKA","Adeudos",NA,6,"2017"
"314WKA","Adeudos",NA,6,"2018"
"314WKA","Adeudos",NA,6,"2019"
"314WKA","Adeudos",NA,6,"2020"
"314WKA","Adeudos",NA,6,"2021"
"314WKB","Adeudos",NA,2,"2020"
"314WKB","Adeudos",NA,2,"2021"
"314WKC","Adeudos",NA,3,"2019"
"314WKC","Adeudos",NA,3,"2020"
"314WKC","Adeudos",NA,3,"2021"
"314WKE","Adeudos",NA,3,"2019"
"314WKE","Adeudos",NA,3,"2020"
"314WKE","Adeudos",NA,3,"2021"
"314WKK","Sin adeudos",NA,0,"0"
"314WKT","Adeudos",NA,5,"2017"
"314WKT","Adeudos",NA,5,"2018"
"314WKT","Adeudos",NA,5,"2019"
"314WKT","Adeudos",NA,5,"2020"
"314WKT","Adeudos",NA,5,"2021"
"314WKU","Adeudos",NA,2,"2020"
"314WKU","Adeudos",NA,2,"2021"
"314WKW","Adeudos",NA,2,"2020"
"314WKW","Adeudos",NA,2,"2021"
"314WLA","Adeudos",NA,4,"2018"
"314WLA","Adeudos",NA,4,"2019"
"314WLA","Adeudos",NA,4,"2020"
"314WLA","Adeudos",NA,4,"2021"
"314WLB","Sin adeudos",NA,0,"0"
"314WLC","Sin adeudos",NA,0,"0"
"314WLD","Adeudos",NA,4,"2018"
"314WLD","Adeudos",NA,4,"2019"
"314WLD","Adeudos",NA,4,"2020"
"314WLD","Adeudos",NA,4,"2021"
"314WLF","Adeudos",NA,5,"2017"
"314WLF","Adeudos",NA,5,"2018"
"314WLF","Adeudos",NA,5,"2019"
"314WLF","Adeudos",NA,5,"2020"
"314WLF","Adeudos",NA,5,"2021"
"314WLG","Sin adeudos",NA,0,"0"
"314WLH","Adeudos",NA,6,"2016"
"314WLH","Adeudos",NA,6,"2017"
"314WLH","Adeudos",NA,6,"2018"
"314WLH","Adeudos",NA,6,"2019"
"314WLH","Adeudos",NA,6,"2020"
"314WLH","Adeudos",NA,6,"2021"
"314WLK","Adeudos",NA,1,"2021"
"314WLL","Adeudos",NA,3,"2019"
"314WLL","Adeudos",NA,3,"2020"
"314WLL","Adeudos",NA,3,"2021"
"314WLN","Adeudos",NA,2,"2019"
"314WLN","Adeudos",NA,2,"2021"
"314WLP","Adeudos",NA,1,"2021"
"314WLR","Cuenta con Placa Anterior y Sin adeudos","314WLR",0,"0"
"314WLS","Adeudos",NA,6,"2016"
"314WLS","Adeudos",NA,6,"2017"
"314WLS","Adeudos",NA,6,"2018"
"314WLS","Adeudos",NA,6,"2019"
"314WLS","Adeudos",NA,6,"2020"
"314WLS","Adeudos",NA,6,"2021"
"314WLT","Adeudos",NA,5,"2017"
"314WLT","Adeudos",NA,5,"2018"
"314WLT","Adeudos",NA,5,"2019"
"314WLT","Adeudos",NA,5,"2020"
"314WLT","Adeudos",NA,5,"2021"
"314WLX","Cuenta con Placa Anterior y Adeudos","314WLX",1,"2021"
"314WLY","Sin adeudos",NA,0,"0"
"314WLZ","Sin adeudos",NA,0,"0"
"314WMD","Sin adeudos",NA,0,"0"
"314WME","Sin adeudos",NA,0,"0"
"314WMF","Adeudos",NA,5,"2017"
"314WMF","Adeudos",NA,5,"2018"
"314WMF","Adeudos",NA,5,"2019"
"314WMF","Adeudos",NA,5,"2020"
"314WMF","Adeudos",NA,5,"2021"
"314WMJ","Adeudos",NA,2,"2020"
"314WMJ","Adeudos",NA,2,"2021"
"314WML","Sin adeudos",NA,0,"0"
"314WMM","Adeudos",NA,4,"2018"
"314WMM","Adeudos",NA,4,"2019"
"314WMM","Adeudos",NA,4,"2020"
"314WMM","Adeudos",NA,4,"2021"
"314WMV","Adeudos",NA,6,"2016"
"314WMV","Adeudos",NA,6,"2017"
"314WMV","Adeudos",NA,6,"2018"
"314WMV","Adeudos",NA,6,"2019"
"314WMV","Adeudos",NA,6,"2020"
"314WMV","Adeudos",NA,6,"2021"
"314WMX","Cuenta con Placa Anterior y Adeudos","314WMX",5,"2016"
"314WMX","Cuenta con Placa Anterior y Adeudos","314WMX",5,"2017"
"314WMX","Cuenta con Placa Anterior y Adeudos","314WMX",5,"2018"
"314WMX","Cuenta con Placa Anterior y Adeudos","314WMX",5,"2019"
"314WMX","Cuenta con Placa Anterior y Adeudos","314WMX",5,"2020"
"314WMY","Adeudos",NA,3,"2019"
"314WMY","Adeudos",NA,3,"2020"
"314WMY","Adeudos",NA,3,"2021"
"314WNB","Sin adeudos",NA,0,"0"
"314WNE","Adeudos",NA,6,"2016"
"314WNE","Adeudos",NA,6,"2017"
"314WNE","Adeudos",NA,6,"2018"
"314WNE","Adeudos",NA,6,"2019"
"314WNE","Adeudos",NA,6,"2020"
"314WNE","Adeudos",NA,6,"2021"
"314WNG","Sin adeudos",NA,0,"0"
"314WNH","Adeudos",NA,4,"2018"
"314WNH","Adeudos",NA,4,"2019"
"314WNH","Adeudos",NA,4,"2020"
"314WNH","Adeudos",NA,4,"2021"
"314WNK","Adeudos",NA,4,"2018"
"314WNK","Adeudos",NA,4,"2019"
"314WNK","Adeudos",NA,4,"2020"
"314WNK","Adeudos",NA,4,"2021"
