"placa","estatus","placa_anterior","years_adeudos","years"
"306WKB","Adeudos",NA,6,"2016"
"306WKB","Adeudos",NA,6,"2017"
"306WKB","Adeudos",NA,6,"2018"
"306WKB","Adeudos",NA,6,"2019"
"306WKB","Adeudos",NA,6,"2020"
"306WKB","Adeudos",NA,6,"2021"
"306WKG","Adeudos",NA,6,"2016"
"306WKG","Adeudos",NA,6,"2017"
"306WKG","Adeudos",NA,6,"2018"
"306WKG","Adeudos",NA,6,"2019"
"306WKG","Adeudos",NA,6,"2020"
"306WKG","Adeudos",NA,6,"2021"
"306WKJ","Adeudos",NA,4,"2018"
"306WKJ","Adeudos",NA,4,"2019"
"306WKJ","Adeudos",NA,4,"2020"
"306WKJ","Adeudos",NA,4,"2021"
"306WKP","Adeudos",NA,1,"2021"
"306WKR","Cuenta con Placa Anterior y Sin adeudos","306WKR",0,"0"
"306WKU","Sin adeudos",NA,0,"0"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2016"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2017"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2018"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2019"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2020"
"306WKW","Cuenta con Placa Anterior y Adeudos","151TGZ",6,"2021"
"306WLC","Sin adeudos",NA,0,"0"
"306WLD","Sin adeudos",NA,0,"0"
"306WLE","Adeudos",NA,6,"2016"
"306WLE","Adeudos",NA,6,"2017"
"306WLE","Adeudos",NA,6,"2018"
"306WLE","Adeudos",NA,6,"2019"
"306WLE","Adeudos",NA,6,"2020"
"306WLE","Adeudos",NA,6,"2021"
"306WLG","Sin adeudos",NA,0,"0"
"306WLH","Adeudos",NA,5,"2017"
"306WLH","Adeudos",NA,5,"2018"
"306WLH","Adeudos",NA,5,"2019"
"306WLH","Adeudos",NA,5,"2020"
"306WLH","Adeudos",NA,5,"2021"
"306WLN","Adeudos",NA,6,"2016"
"306WLN","Adeudos",NA,6,"2017"
"306WLN","Adeudos",NA,6,"2018"
"306WLN","Adeudos",NA,6,"2019"
"306WLN","Adeudos",NA,6,"2020"
"306WLN","Adeudos",NA,6,"2021"
"306WLP","Sin adeudos",NA,0,"0"
