"placa","estatus","placa_anterior","years_adeudos","years"
"322WLD","Cuenta con Placa Anterior y Adeudos","195SZG",3,"2019"
"322WLD","Cuenta con Placa Anterior y Adeudos","195SZG",3,"2020"
"322WLD","Cuenta con Placa Anterior y Adeudos","195SZG",3,"2021"
"322WLF","Sin adeudos",NA,0,"0"
"322WLG","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WLJ","Adeudos",NA,6,"2016"
"322WLJ","Adeudos",NA,6,"2017"
"322WLJ","Adeudos",NA,6,"2018"
"322WLJ","Adeudos",NA,6,"2019"
"322WLJ","Adeudos",NA,6,"2020"
"322WLJ","Adeudos",NA,6,"2021"
"322WLL","Sin adeudos",NA,0,"0"
"322WLM","Adeudos",NA,3,"2019"
"322WLM","Adeudos",NA,3,"2020"
"322WLM","Adeudos",NA,3,"2021"
"322WLN","Sin adeudos",NA,0,"0"
"322WLS","Adeudos",NA,6,"2016"
"322WLS","Adeudos",NA,6,"2017"
"322WLS","Adeudos",NA,6,"2018"
"322WLS","Adeudos",NA,6,"2019"
"322WLS","Adeudos",NA,6,"2020"
"322WLS","Adeudos",NA,6,"2021"
"322WLW","Cuenta con Placa Anterior y Sin adeudos","558VLX",0,"0"
"322WLZ","Adeudos",NA,4,"2018"
"322WLZ","Adeudos",NA,4,"2019"
"322WLZ","Adeudos",NA,4,"2020"
"322WLZ","Adeudos",NA,4,"2021"
"322WMA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322WME","Sin adeudos",NA,0,"0"
"322WMF","Sin adeudos",NA,0,"0"
"322WMG","Sin adeudos",NA,0,"0"
"322WML","Adeudos",NA,5,"2017"
"322WML","Adeudos",NA,5,"2018"
"322WML","Adeudos",NA,5,"2019"
"322WML","Adeudos",NA,5,"2020"
"322WML","Adeudos",NA,5,"2021"
"322WMM","Adeudos",NA,1,"2021"
"322WMR","Adeudos",NA,3,"2019"
"322WMR","Adeudos",NA,3,"2020"
"322WMR","Adeudos",NA,3,"2021"
"322WMS","Adeudos",NA,4,"2018"
"322WMS","Adeudos",NA,4,"2019"
"322WMS","Adeudos",NA,4,"2020"
"322WMS","Adeudos",NA,4,"2021"
"322WMT","Sin adeudos",NA,0,"0"
"322WMU","Adeudos",NA,4,"2018"
"322WMU","Adeudos",NA,4,"2019"
"322WMU","Adeudos",NA,4,"2020"
"322WMU","Adeudos",NA,4,"2021"
"322WMY","Sin adeudos",NA,0,"0"
"322WNA","Adeudos",NA,1,"2021"
"322WNB","Adeudos",NA,2,"2020"
"322WNB","Adeudos",NA,2,"2021"
"322WNC","Cuenta con Placa Anterior y Adeudos","782VJG",4,"2018"
"322WNC","Cuenta con Placa Anterior y Adeudos","782VJG",4,"2019"
"322WNC","Cuenta con Placa Anterior y Adeudos","782VJG",4,"2020"
"322WNC","Cuenta con Placa Anterior y Adeudos","782VJG",4,"2021"
"322WNE","Adeudos",NA,6,"2016"
"322WNE","Adeudos",NA,6,"2017"
"322WNE","Adeudos",NA,6,"2018"
"322WNE","Adeudos",NA,6,"2019"
"322WNE","Adeudos",NA,6,"2020"
"322WNE","Adeudos",NA,6,"2021"
"322WNF","Adeudos",NA,6,"2016"
"322WNF","Adeudos",NA,6,"2017"
"322WNF","Adeudos",NA,6,"2018"
"322WNF","Adeudos",NA,6,"2019"
"322WNF","Adeudos",NA,6,"2020"
"322WNF","Adeudos",NA,6,"2021"
"322WNG","Adeudos",NA,5,"2017"
"322WNG","Adeudos",NA,5,"2018"
"322WNG","Adeudos",NA,5,"2019"
"322WNG","Adeudos",NA,5,"2020"
"322WNG","Adeudos",NA,5,"2021"
"322WNK","Sin adeudos",NA,0,"0"
"322WNL","ERROR. Revisar Placa",NA,0,"0"
"322WNN","ERROR. Revisar Placa",NA,0,"0"
"322WNP","ERROR. Revisar Placa",NA,0,"0"
"322WNS","ERROR. Revisar Placa",NA,0,"0"
"322WNT","Adeudos",NA,6,"2016"
"322WNT","Adeudos",NA,6,"2017"
"322WNT","Adeudos",NA,6,"2018"
"322WNT","Adeudos",NA,6,"2019"
"322WNT","Adeudos",NA,6,"2020"
"322WNT","Adeudos",NA,6,"2021"
"322WNV","Adeudos",NA,5,"2017"
"322WNV","Adeudos",NA,5,"2018"
"322WNV","Adeudos",NA,5,"2019"
"322WNV","Adeudos",NA,5,"2020"
"322WNV","Adeudos",NA,5,"2021"
"322WPA","Adeudos",NA,1,"2021"
"322WPB","Sin adeudos",NA,0,"0"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2016"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2017"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2018"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2019"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2020"
"322WPC","Cuenta con Placa Anterior y Adeudos","428SMA",6,"2021"
"322WPD","Sin adeudos",NA,0,"0"
"322WPE","Sin adeudos",NA,0,"0"
"322WPF","Adeudos",NA,2,"2020"
"322WPF","Adeudos",NA,2,"2021"
"322WPG","Adeudos",NA,4,"2018"
"322WPG","Adeudos",NA,4,"2019"
"322WPG","Adeudos",NA,4,"2020"
"322WPG","Adeudos",NA,4,"2021"
"322WPL","Cuenta con Placa Anterior y Adeudos","551TKD",3,"2019"
"322WPL","Cuenta con Placa Anterior y Adeudos","551TKD",3,"2020"
"322WPL","Cuenta con Placa Anterior y Adeudos","551TKD",3,"2021"
"322WPM","Cuenta con Placa Anterior y Sin adeudos","981NXH",0,"0"
"322WPT","Adeudos",NA,1,"2021"
"322WPU","Sin adeudos",NA,0,"0"
"322WPV","Adeudos",NA,1,"2021"
"322WPX","Adeudos",NA,5,"2017"
"322WPX","Adeudos",NA,5,"2018"
"322WPX","Adeudos",NA,5,"2019"
